,ex_name,userId,Reference,SampleA,SampleB,choice_answerTimbre,choice_answerRhythm,choice_answerMelody,choice_answerTotal,choice_time
270,ex202404,user7,set22/0/guitar/X_1995-34.wav,set22/0/guitar/A_1878-22.wav,set22/0/guitar/B_1907-40.wav,B-,A-,A-,A-,34176
271,ex202404,user7,set22/3/drums/X_1990-68.wav,set22/3/drums/A_2008-21.wav,set22/3/drums/B_1916-16.wav,NA,A-,NA,A-,59058
273,ex202404,user7,set22/0/drums/X_1995-46.wav,set22/0/drums/A_1878-26.wav,set22/0/drums/B_1907-9.wav,NA,A-,NA,A-,43801
274,ex202404,user7,set22/1/residuals/X_1961-59.wav,set22/1/residuals/A_2007-33.wav,set22/1/residuals/B_1986-11.wav,A-,A-,A-,A-,60968
277,ex202404,user7,set22/2/piano/X_1994-9.wav,set22/2/piano/A_2061-43.wav,set22/2/piano/B_1878-36.wav,NA,A-,A-,A-,45036
278,ex202404,user7,set22/1/piano/X_1961-24.wav,set22/1/piano/A_2007-52.wav,set22/1/piano/B_1986-5.wav,A-,A+,A+,A-,55762
279,ex202404,user7,set22/2/bass/X_1994-13.wav,set22/2/bass/A_2061-49.wav,set22/2/bass/B_1878-14.wav,NA,A-,A-,A-,51302
280,ex202404,user7,set22/0/residuals/X_1995-31.wav,set22/0/residuals/A_1878-39.wav,set22/0/residuals/B_1907-35.wav,A-,NA,A-,A-,83784
283,ex202404,user7,set22/3/residuals/X_1990-43.wav,set22/3/residuals/A_2008-20.wav,set22/3/residuals/B_1916-40.wav,B+,B+,B+,B+,37016
284,ex202404,user7,set22/2/guitar/X_1994-16.wav,set22/2/guitar/A_2061-15.wav,set22/2/guitar/B_1878-34.wav,A-,NA,A-,A-,41532
286,ex202404,user7,set22/0/piano/X_1995-25.wav,set22/0/piano/A_1878-20.wav,set22/0/piano/B_1907-31.wav,B-,NA,A-,A-,49334
291,ex202404,user8,set18/0/guitar/X_1929-33.wav,set18/0/guitar/A_1962-42.wav,set18/0/guitar/B_1974-27.wav,A+,A+,A+,A+,18644
293,ex202404,user8,set18/3/bass/X_1977-38.wav,set18/3/bass/A_1949-24.wav,set18/3/bass/B_1920-31.wav,A-,B-,B-,B-,51123
294,ex202404,user8,set18/1/drums/X_2061-36.wav,set18/1/drums/A_1932-47.wav,set18/1/drums/B_1883-8.wav,B+,B-,NA,B+,19996
295,ex202404,user8,set18/2/bass/X_2016-14.wav,set18/2/bass/A_1998-38.wav,set18/2/bass/B_2052-37.wav,B+,B-,B-,B+,30169
298,ex202404,user8,set18/1/piano/X_2061-41.wav,set18/1/piano/A_1932-31.wav,set18/1/piano/B_1883-17.wav,A+,NA,NA,A-,38979
299,ex202404,user8,set18/3/residuals/X_1977-27.wav,set18/3/residuals/A_1949-43.wav,set18/3/residuals/B_1920-40.wav,B+,B-,B-,B+,34241
300,ex202404,user8,set18/3/piano/X_1977-29.wav,set18/3/piano/A_1949-13.wav,set18/3/piano/B_1920-39.wav,B+,B+,B-,B+,38811
303,ex202404,user8,set18/3/drums/X_1977-36.wav,set18/3/drums/A_1949-46.wav,set18/3/drums/B_1920-30.wav,A-,B-,NA,A-,39123
304,ex202404,user8,set18/2/residuals/X_2016-49.wav,set18/2/residuals/A_1998-31.wav,set18/2/residuals/B_2052-16.wav,A-,NA,NA,A-,40562
305,ex202404,user8,set18/0/residuals/X_1929-34.wav,set18/0/residuals/A_1962-36.wav,set18/0/residuals/B_1974-29.wav,NA,A-,A-,A-,62273
308,ex202404,user8,set18/2/piano/X_2016-15.wav,set18/2/piano/A_1998-43.wav,set18/2/piano/B_2052-27.wav,A-,NA,NA,A-,40755
309,ex202404,user8,set18/0/bass/X_1929-44.wav,set18/0/bass/A_1962-22.wav,set18/0/bass/B_1974-38.wav,B-,B+,NA,B+,35546
310,ex202404,user8,set18/0/drums/X_1929-20.wav,set18/0/drums/A_1962-45.wav,set18/0/drums/B_1974-23.wav,NA,A-,NA,A-,75046
312,ex202404,user8,set18/2/drums/X_2016-9.wav,set18/2/drums/A_1998-10.wav,set18/2/drums/B_2052-10.wav,A-,NA,NA,A-,53279
313,ex202404,user8,set18/1/residuals/X_2061-15.wav,set18/1/residuals/A_1932-44.wav,set18/1/residuals/B_1883-3.wav,B-,NA,NA,B-,57861
315,ex202404,user8,set18/1/guitar/X_2061-32.wav,set18/1/guitar/A_1932-33.wav,set18/1/guitar/B_1883-35.wav,B-,NA,NA,B-,51126
317,ex202404,user8,set18/2/guitar/X_2016-19.wav,set18/2/guitar/A_1998-17.wav,set18/2/guitar/B_2052-6.wav,B-,NA,NA,B-,52554
319,ex202404,user8,set18/0/piano/X_1929-15.wav,set18/0/piano/A_1962-11.wav,set18/0/piano/B_1974-12.wav,B-,B-,NA,B-,42179
322,ex202404,user8,set18/1/bass/X_2061-43.wav,set18/1/bass/A_1932-43.wav,set18/1/bass/B_1883-17.wav,B-,NA,NA,B-,37343
325,ex202404,user8,set18/3/guitar/X_1977-43.wav,set18/3/guitar/A_1949-9.wav,set18/3/guitar/B_1920-25.wav,B-,B-,B-,B+,60141
329,ex202404,user9,set42/3/residuals/X_1943-53.wav,set42/3/residuals/A_2045-25.wav,set42/3/residuals/B_1965-12.wav,A-,A-,A-,A-,28445
334,ex202404,user9,set42/2/drums/X_2037-60.wav,set42/2/drums/A_2092-35.wav,set42/2/drums/B_1956-41.wav,A-,A-,A-,A-,20682
337,ex202404,user9,set42/1/residuals/X_1899-28.wav,set42/1/residuals/A_1978-55.wav,set42/1/residuals/B_2087-16.wav,A-,A-,A-,A-,19344
344,ex202404,user9,set42/0/piano/X_1978-35.wav,set42/0/piano/A_1954-14.wav,set42/0/piano/B_2023-41.wav,A-,A-,A-,A-,25725
346,ex202404,user9,set42/3/guitar/X_1943-53.wav,set42/3/guitar/A_2045-28.wav,set42/3/guitar/B_1965-36.wav,NA,A-,A-,A-,21409
347,ex202404,user9,set42/1/guitar/X_1899-15.wav,set42/1/guitar/A_1978-10.wav,set42/1/guitar/B_2087-35.wav,B-,A-,A-,A-,21210
348,ex202404,user9,set42/2/piano/X_2037-40.wav,set42/2/piano/A_2092-9.wav,set42/2/piano/B_1956-40.wav,A-,A-,A-,A-,18809
351,ex202404,user9,set42/3/drums/X_1943-27.wav,set42/3/drums/A_2045-35.wav,set42/3/drums/B_1965-6.wav,A-,A-,A-,A-,19044
352,ex202404,user9,set42/2/residuals/X_2037-54.wav,set42/2/residuals/A_2092-6.wav,set42/2/residuals/B_1956-14.wav,A-,A-,A+,A-,19363
353,ex202404,user9,set42/1/drums/X_1899-22.wav,set42/1/drums/A_1978-56.wav,set42/1/drums/B_2087-26.wav,A-,A+,A-,A-,19283
356,ex202404,user9,set42/1/bass/X_1899-22.wav,set42/1/bass/A_1978-56.wav,set42/1/bass/B_2087-13.wav,A-,A-,A-,A-,19229
357,ex202404,user9,set42/2/guitar/X_2037-30.wav,set42/2/guitar/A_2092-38.wav,set42/2/guitar/B_1956-3.wav,A-,A-,A-,A-,19093
358,ex202404,user9,set42/3/bass/X_1943-14.wav,set42/3/bass/A_2045-15.wav,set42/3/bass/B_1965-24.wav,A+,A-,A+,A+,20910
359,ex202404,user9,set42/0/guitar/X_1978-4.wav,set42/0/guitar/A_1954-26.wav,set42/0/guitar/B_2023-5.wav,B-,B-,B-,B-,20075
360,ex202404,user9,set42/1/piano/X_1899-29.wav,set42/1/piano/A_1978-39.wav,set42/1/piano/B_2087-17.wav,B-,A-,A-,A-,19612
