Unnamed: 0,ex_name,subject_id,reference,sample_a,sample_b,answer_timbre,answer_rhythm,answer_melody,answer_total,choice_time
30,ex202404,subject1,set2/0/piano/X_2090-40.wav,set2/0/piano/C_2095-45.wav,set2/0/piano/Y_2090-12.wav,B+,B-,B-,B-,35941
32,ex202404,subject1,set2/0/guitar/X_2090-25.wav,set2/0/guitar/Y_2090-17.wav,set2/0/guitar/C_2095-50.wav,NA,A+,A-,A-,33252
35,ex202404,subject1,set2/3/drums/X_2037-48.wav,set2/3/drums/C_2024-35.wav,set2/3/drums/Y_2037-49.wav,B+,B+,B-,B+,29568
36,ex202404,subject1,set2/1/guitar/X_2086-19.wav,set2/1/guitar/Y_2086-28.wav,set2/1/guitar/C_2010-71.wav,A-,A+,A-,A-,22526
37,ex202404,subject1,set2/1/piano/X_2086-18.wav,set2/1/piano/Y_2086-19.wav,set2/1/piano/C_2010-13.wav,A+,A-,A+,A+,53067
38,ex202404,subject1,set2/3/residuals/X_2037-20.wav,set2/3/residuals/C_2024-37.wav,set2/3/residuals/Y_2037-24.wav,B+,B-,B+,B+,45587
39,ex202404,subject1,set2/0/drums/X_2090-6.wav,set2/0/drums/Y_2090-33.wav,set2/0/drums/C_2095-53.wav,A-,NA,NA,A-,36703
41,ex202404,subject1,set2/1/drums/X_2086-36.wav,set2/1/drums/Y_2086-34.wav,set2/1/drums/C_2010-41.wav,A+,A+,A+,A+,33999
43,ex202404,subject2,set13/2/residuals/X_2017-42.wav,set13/2/residuals/C_2008-16.wav,set13/2/residuals/Y_2017-20.wav,A-,A-,A-,A-,17975
44,ex202404,subject2,set13/1/piano/X_2081-8.wav,set13/1/piano/Y_2081-2.wav,set13/1/piano/C_1996-56.wav,A+,A+,A+,A+,18736
45,ex202404,subject2,set13/1/residuals/X_2081-37.wav,set13/1/residuals/Y_2081-18.wav,set13/1/residuals/C_1996-8.wav,A-,B-,B-,B-,19320
46,ex202404,subject2,set13/2/bass/X_2017-23.wav,set13/2/bass/Y_2017-37.wav,set13/2/bass/C_2008-20.wav,A+,A-,A+,A+,18110
47,ex202404,subject2,set13/1/bass/X_2081-29.wav,set13/1/bass/C_1996-35.wav,set13/1/bass/Y_2081-17.wav,A-,A-,A-,A-,25441
50,ex202404,subject2,set13/2/piano/X_2017-5.wav,set13/2/piano/Y_2017-10.wav,set13/2/piano/C_2008-5.wav,A+,A+,A-,A+,16407
52,ex202404,subject2,set13/3/drums/X_1947-24.wav,set13/3/drums/Y_1947-59.wav,set13/3/drums/C_2064-22.wav,A+,A+,A+,A+,15308
58,ex202404,subject2,set13/3/bass/X_1947-39.wav,set13/3/bass/Y_1947-63.wav,set13/3/bass/C_2064-24.wav,A+,A-,B-,A-,28996
61,ex202404,subject2,set13/0/piano/X_1959-37.wav,set13/0/piano/Y_1959-25.wav,set13/0/piano/C_1903-36.wav,A-,A-,A+,A-,15772
62,ex202404,subject2,set13/3/guitar/X_1947-33.wav,set13/3/guitar/C_2064-34.wav,set13/3/guitar/Y_1947-69.wav,B+,B-,B-,B-,16762
63,ex202404,subject2,set13/1/guitar/X_2081-23.wav,set13/1/guitar/Y_2081-34.wav,set13/1/guitar/C_1996-13.wav,A-,A+,A-,A-,19405
68,ex202404,subject2,set13/0/bass/X_1959-44.wav,set13/0/bass/C_1903-18.wav,set13/0/bass/Y_1959-34.wav,B+,B-,B-,B-,17535
69,ex202404,subject2,set13/2/drums/X_2017-22.wav,set13/2/drums/C_2008-30.wav,set13/2/drums/Y_2017-18.wav,B-,B+,B-,B-,17688
71,ex202404,subject2,set13/3/piano/X_1947-43.wav,set13/3/piano/Y_1947-38.wav,set13/3/piano/C_2064-12.wav,A+,A+,A-,A+,16540
74,ex202404,subject2,set13/0/residuals/X_1959-12.wav,set13/0/residuals/Y_1959-30.wav,set13/0/residuals/C_1903-37.wav,A-,A+,A+,A-,34715
77,ex202404,subject2,set13/1/drums/X_2081-33.wav,set13/1/drums/Y_2081-36.wav,set13/1/drums/C_1996-26.wav,A+,A-,A+,A+,17892
78,ex202404,subject2,set13/0/guitar/X_1959-27.wav,set13/0/guitar/C_1903-31.wav,set13/0/guitar/Y_1959-39.wav,B-,A-,A-,A-,19183
79,ex202404,subject2,set13/0/drums/X_1959-17.wav,set13/0/drums/Y_1959-8.wav,set13/0/drums/C_1903-15.wav,A-,A-,A-,A-,15623
82,ex202404,subject3,set9/2/piano/X_1907-29.wav,set9/2/piano/C_2082-12.wav,set9/2/piano/Y_1907-41.wav,B+,B+,B+,B+,58873
86,ex202404,subject3,set9/1/residuals/X_1950-39.wav,set9/1/residuals/C_2079-14.wav,set9/1/residuals/Y_1950-13.wav,B+,B+,B+,B+,47784
88,ex202404,subject3,set9/0/drums/X_1931-44.wav,set9/0/drums/Y_1931-35.wav,set9/0/drums/C_1882-26.wav,A+,B+,B+,B+,55184
89,ex202404,subject3,set9/3/bass/X_1968-40.wav,set9/3/bass/C_1927-32.wav,set9/3/bass/Y_1968-7.wav,B+,B-,B-,B-,39814
97,ex202404,subject3,set9/1/drums/X_1950-25.wav,set9/1/drums/Y_1950-36.wav,set9/1/drums/C_2079-33.wav,A-,A+,A+,A+,32094
99,ex202404,subject3,set9/1/guitar/X_1950-20.wav,set9/1/guitar/Y_1950-39.wav,set9/1/guitar/C_2079-30.wav,A+,A+,A+,A+,27357
103,ex202404,subject3,set9/1/bass/X_1950-6.wav,set9/1/bass/Y_1950-25.wav,set9/1/bass/C_2079-23.wav,A-,A+,A+,A+,29771
105,ex202404,subject3,set9/0/piano/X_1931-42.wav,set9/0/piano/C_1882-53.wav,set9/0/piano/Y_1931-44.wav,B-,B+,B+,B+,23891
106,ex202404,subject3,set9/2/drums/X_1907-32.wav,set9/2/drums/C_2082-5.wav,set9/2/drums/Y_1907-46.wav,B+,B+,B+,B+,22613
107,ex202404,subject3,set9/3/residuals/X_1968-35.wav,set9/3/residuals/C_1927-27.wav,set9/3/residuals/Y_1968-30.wav,B+,B+,B+,B+,43355
110,ex202404,subject3,set9/2/guitar/X_1907-23.wav,set9/2/guitar/Y_1907-12.wav,set9/2/guitar/C_2082-4.wav,NA,A-,A-,A-,32859
111,ex202404,subject3,set9/0/bass/X_1931-2.wav,set9/0/bass/Y_1931-43.wav,set9/0/bass/C_1882-2.wav,A+,NA,NA,A-,33243
114,ex202404,subject3,set9/0/residuals/X_1931-8.wav,set9/0/residuals/Y_1931-22.wav,set9/0/residuals/C_1882-13.wav,A+,A+,A+,A+,27697
115,ex202404,subject3,set9/2/bass/X_1907-36.wav,set9/2/bass/C_2082-34.wav,set9/2/bass/Y_1907-15.wav,B-,B+,B-,B-,47473
116,ex202404,subject3,set9/3/guitar/X_1968-46.wav,set9/3/guitar/Y_1968-54.wav,set9/3/guitar/C_1927-20.wav,A+,A+,A+,A+,27233
117,ex202404,subject3,set9/2/residuals/X_1907-21.wav,set9/2/residuals/C_2082-9.wav,set9/2/residuals/Y_1907-34.wav,B+,B+,B+,B+,27353
119,ex202404,subject3,set9/1/piano/X_1950-5.wav,set9/1/piano/C_2079-7.wav,set9/1/piano/Y_1950-4.wav,B+,B+,B-,B+,24248
120,ex202404,subject3,set9/3/drums/X_1968-27.wav,set9/3/drums/C_1927-23.wav,set9/3/drums/Y_1968-41.wav,B+,B-,B+,B+,27733
121,ex202404,subject3,set9/3/piano/X_1968-25.wav,set9/3/piano/Y_1968-42.wav,set9/3/piano/C_1927-12.wav,A+,A-,A-,A-,30680
123,ex202404,subject3,set9/0/guitar/X_1931-3.wav,set9/0/guitar/C_1882-9.wav,set9/0/guitar/Y_1931-16.wav,B+,B-,NA,B-,23752
125,ex202404,subject4,set15/2/bass/X_1882-39.wav,set15/2/bass/C_2032-42.wav,set15/2/bass/Y_1882-19.wav,B-,A-,A-,A-,16740
127,ex202404,subject4,set15/0/drums/X_1925-27.wav,set15/0/drums/Y_1925-3.wav,set15/0/drums/C_2054-15.wav,A+,A+,A-,A+,18618
129,ex202404,subject4,set15/2/piano/X_1882-24.wav,set15/2/piano/Y_1882-53.wav,set15/2/piano/C_2032-21.wav,A+,A+,A+,A+,20323
131,ex202404,subject4,set15/2/residuals/X_1882-2.wav,set15/2/residuals/Y_1882-27.wav,set15/2/residuals/C_2032-2.wav,A-,A-,A+,A-,22271
132,ex202404,subject4,set15/0/piano/X_1925-16.wav,set15/0/piano/C_2054-32.wav,set15/0/piano/Y_1925-26.wav,B+,B+,B+,B+,17655
133,ex202404,subject4,set15/3/piano/X_2016-39.wav,set15/3/piano/Y_2016-19.wav,set15/3/piano/C_2054-40.wav,A-,B-,A-,A-,22658
134,ex202404,subject4,set15/3/guitar/X_2016-45.wav,set15/3/guitar/C_2054-55.wav,set15/3/guitar/Y_2016-10.wav,B-,A-,A-,A-,22468
139,ex202404,subject4,set15/0/guitar/X_1925-2.wav,set15/0/guitar/Y_1925-9.wav,set15/0/guitar/C_2054-40.wav,A+,A+,A-,A+,19009
141,ex202404,subject4,set15/3/bass/X_2016-49.wav,set15/3/bass/Y_2016-8.wav,set15/3/bass/C_2054-63.wav,A+,A-,A-,A-,23051
144,ex202404,subject4,set15/0/bass/X_1925-31.wav,set15/0/bass/Y_1925-9.wav,set15/0/bass/C_2054-21.wav,A+,A-,A+,A+,18956
146,ex202404,subject4,set15/2/guitar/X_1882-9.wav,set15/2/guitar/C_2032-14.wav,set15/2/guitar/Y_1882-11.wav,B+,B+,B+,B+,17672
147,ex202404,subject4,set15/0/residuals/X_1925-6.wav,set15/0/residuals/C_2054-39.wav,set15/0/residuals/Y_1925-25.wav,B+,B+,B+,B+,16866
148,ex202404,subject4,set15/2/drums/X_1882-42.wav,set15/2/drums/C_2032-43.wav,set15/2/drums/Y_1882-12.wav,A+,A+,A-,A+,17221
150,ex202404,subject4,set15/1/piano/X_1977-30.wav,set15/1/piano/Y_1977-38.wav,set15/1/piano/C_1965-17.wav,A+,B-,B-,B-,16207
151,ex202404,subject4,set15/1/bass/X_1977-11.wav,set15/1/bass/C_1965-13.wav,set15/1/bass/Y_1977-39.wav,A-,A-,B-,A-,20153
152,ex202404,subject4,set15/1/residuals/X_1977-40.wav,set15/1/residuals/C_1965-10.wav,set15/1/residuals/Y_1977-23.wav,B-,B-,B-,B-,18035
158,ex202404,subject4,set15/1/drums/X_1977-40.wav,set15/1/drums/C_1965-29.wav,set15/1/drums/Y_1977-32.wav,B-,A-,A-,A-,17495
159,ex202404,subject4,set15/3/drums/X_2016-15.wav,set15/3/drums/C_2054-62.wav,set15/3/drums/Y_2016-10.wav,B+,B+,B+,B+,33092
161,ex202404,subject4,set15/3/residuals/X_2016-29.wav,set15/3/residuals/C_2054-48.wav,set15/3/residuals/Y_2016-6.wav,B+,B+,B+,B+,17424
163,ex202404,subject4,set15/1/guitar/X_1977-31.wav,set15/1/guitar/Y_1977-4.wav,set15/1/guitar/C_1965-24.wav,A+,A+,A+,A+,15624
165,ex202404,subject5,set8/1/drums/X_1987-19.wav,set8/1/drums/Y_1987-46.wav,set8/1/drums/C_1974-30.wav,A+,A+,A+,A+,2437790
167,ex202404,subject5,set8/3/bass/X_2074-7.wav,set8/3/bass/C_2000-8.wav,set8/3/bass/Y_2074-6.wav,B+,B+,B+,B+,45271
168,ex202404,subject5,set8/0/drums/X_2044-5.wav,set8/0/drums/Y_2044-29.wav,set8/0/drums/C_1895-17.wav,A+,A+,A+,A+,30596
170,ex202404,subject5,set8/2/residuals/X_1929-28.wav,set8/2/residuals/C_1920-21.wav,set8/2/residuals/Y_1929-31.wav,B+,B+,B+,B+,60108
171,ex202404,subject5,set8/3/residuals/X_2074-55.wav,set8/3/residuals/Y_2074-7.wav,set8/3/residuals/C_2000-36.wav,B-,B-,B-,B-,117851
173,ex202404,subject5,set8/2/piano/X_1929-19.wav,set8/2/piano/C_1920-13.wav,set8/2/piano/Y_1929-17.wav,B+,B-,B+,B+,47460
175,ex202404,subject5,set8/1/piano/X_1987-48.wav,set8/1/piano/Y_1987-17.wav,set8/1/piano/C_1974-12.wav,A+,A+,A-,A+,22732
178,ex202404,subject5,set8/1/bass/X_1987-15.wav,set8/1/bass/C_1974-37.wav,set8/1/bass/Y_1987-53.wav,B+,B+,B-,B+,23249
181,ex202404,subject5,set8/1/residuals/X_1987-27.wav,set8/1/residuals/C_1974-20.wav,set8/1/residuals/Y_1987-49.wav,A+,A-,B-,A-,57254
184,ex202404,subject5,set8/2/drums/X_1929-23.wav,set8/2/drums/Y_1929-18.wav,set8/2/drums/C_1920-20.wav,A+,A+,A+,A+,26701
185,ex202404,subject5,set8/3/guitar/X_2074-52.wav,set8/3/guitar/C_2000-12.wav,set8/3/guitar/Y_2074-38.wav,B+,B+,B+,B+,18731
186,ex202404,subject5,set8/1/guitar/X_1987-32.wav,set8/1/guitar/Y_1987-36.wav,set8/1/guitar/C_1974-40.wav,A-,A-,A-,A-,23622
190,ex202404,subject5,set8/3/drums/X_2074-16.wav,set8/3/drums/Y_2074-10.wav,set8/3/drums/C_2000-34.wav,A+,A+,A+,A+,19944
196,ex202404,subject5,set8/3/piano/X_2074-47.wav,set8/3/piano/C_2000-30.wav,set8/3/piano/Y_2074-8.wav,B+,A-,NA,B-,74462
198,ex202404,subject5,set8/0/piano/X_2044-13.wav,set8/0/piano/Y_2044-27.wav,set8/0/piano/C_1895-11.wav,A+,A+,A+,A+,19326
199,ex202404,subject5,set8/0/bass/X_2044-34.wav,set8/0/bass/Y_2044-2.wav,set8/0/bass/C_1895-21.wav,A+,A+,A+,A+,19037
200,ex202404,subject5,set8/0/guitar/X_2044-30.wav,set8/0/guitar/C_1895-2.wav,set8/0/guitar/Y_2044-4.wav,B-,B-,B-,B-,39828
201,ex202404,subject5,set8/0/residuals/X_2044-18.wav,set8/0/residuals/C_1895-4.wav,set8/0/residuals/Y_2044-35.wav,B-,B+,B+,B+,24403
202,ex202404,subject5,set8/2/guitar/X_1929-27.wav,set8/2/guitar/C_1920-9.wav,set8/2/guitar/Y_1929-30.wav,B+,B+,B+,B+,22876
203,ex202404,subject6,set21/1/drums/X_2004-18.wav,set21/1/drums/Y_2004-39.wav,set21/1/drums/C_2053-22.wav,A+,A+,A+,A+,57747
204,ex202404,subject6,set21/2/drums/X_1955-38.wav,set21/2/drums/Y_1955-2.wav,set21/2/drums/C_2049-8.wav,B-,A-,B-,B-,32218
205,ex202404,subject6,set21/1/guitar/X_2004-7.wav,set21/1/guitar/Y_2004-28.wav,set21/1/guitar/C_2053-10.wav,A+,A+,A+,A+,18195
208,ex202404,subject6,set21/3/piano/X_1994-8.wav,set21/3/piano/C_2031-15.wav,set21/3/piano/Y_1994-36.wav,B+,B+,B-,B+,19259
209,ex202404,subject6,set21/1/piano/X_2004-8.wav,set21/1/piano/Y_2004-31.wav,set21/1/piano/C_2053-35.wav,A+,A+,A+,A-,16851
211,ex202404,subject6,set21/0/guitar/X_1963-33.wav,set21/0/guitar/C_2088-14.wav,set21/0/guitar/Y_1963-32.wav,B+,B-,B-,B-,20173
216,ex202404,subject6,set21/1/bass/X_2004-13.wav,set21/1/bass/Y_2004-21.wav,set21/1/bass/C_2053-22.wav,A+,NA,A-,A-,22316
219,ex202404,subject6,set21/2/piano/X_1955-46.wav,set21/2/piano/C_2049-6.wav,set21/2/piano/Y_1955-25.wav,B+,B-,B-,B-,18505
221,ex202404,subject6,set21/3/residuals/X_1994-15.wav,set21/3/residuals/Y_1994-26.wav,set21/3/residuals/C_2031-52.wav,A+,A+,A-,A+,18435
222,ex202404,subject6,set21/2/bass/X_1955-38.wav,set21/2/bass/C_2049-13.wav,set21/2/bass/Y_1955-28.wav,B+,B-,B-,B-,37412
224,ex202404,subject6,set21/2/residuals/X_1955-45.wav,set21/2/residuals/Y_1955-50.wav,set21/2/residuals/C_2049-31.wav,A+,A+,A+,A+,17091
225,ex202404,subject6,set21/0/bass/X_1963-39.wav,set21/0/bass/C_2088-35.wav,set21/0/bass/Y_1963-25.wav,B-,A-,B-,B-,40524
226,ex202404,subject6,set21/3/drums/X_1994-14.wav,set21/3/drums/C_2031-37.wav,set21/3/drums/Y_1994-2.wav,B-,B+,B+,B+,26659
229,ex202404,subject6,set21/0/drums/X_1963-45.wav,set21/0/drums/C_2088-27.wav,set21/0/drums/Y_1963-37.wav,B-,NA,B+,B-,38624
231,ex202404,subject6,set21/3/guitar/X_1994-8.wav,set21/3/guitar/C_2031-48.wav,set21/3/guitar/Y_1994-16.wav,B+,B+,B-,B+,25747
236,ex202404,subject6,set21/0/piano/X_1963-23.wav,set21/0/piano/Y_1963-22.wav,set21/0/piano/C_2088-30.wav,A-,A+,A+,A+,21354
238,ex202404,subject6,set21/0/residuals/X_1963-22.wav,set21/0/residuals/Y_1963-19.wav,set21/0/residuals/C_2088-39.wav,A-,A+,A-,A-,26561
239,ex202404,subject6,set21/3/bass/X_1994-17.wav,set21/3/bass/Y_1994-6.wav,set21/3/bass/C_2031-53.wav,A-,A+,A+,A+,36545
242,ex202404,subject6,set21/2/guitar/X_1955-1.wav,set21/2/guitar/Y_1955-17.wav,set21/2/guitar/C_2049-20.wav,A+,A+,A+,A+,19301
243,ex202404,subject6,set21/1/residuals/X_2004-1.wav,set21/1/residuals/Y_2004-4.wav,set21/1/residuals/C_2053-46.wav,A+,A+,A-,A+,19682
245,ex202404,subject7,set22/2/piano/X_1994-9.wav,set22/2/piano/C_1948-44.wav,set22/2/piano/Y_1994-20.wav,B+,B+,B+,B+,80316
246,ex202404,subject7,set22/0/guitar/X_1995-34.wav,set22/0/guitar/C_2081-13.wav,set22/0/guitar/Y_1995-21.wav,B+,B+,B+,B+,58244
247,ex202404,subject7,set22/3/drums/X_1990-68.wav,set22/3/drums/Y_1990-12.wav,set22/3/drums/C_2044-29.wav,A+,A-,NA,A-,64795
248,ex202404,subject7,set22/0/bass/X_1995-10.wav,set22/0/bass/C_2081-43.wav,set22/0/bass/Y_1995-13.wav,B+,B-,B+,B+,76996
250,ex202404,subject7,set22/3/piano/X_1990-77.wav,set22/3/piano/C_2044-19.wav,set22/3/piano/Y_1990-80.wav,B+,B+,B+,B+,53273
252,ex202404,subject7,set22/1/residuals/X_1961-59.wav,set22/1/residuals/C_1986-44.wav,set22/1/residuals/Y_1961-57.wav,B+,B-,B+,B+,89128
253,ex202404,subject7,set22/3/residuals/X_1990-43.wav,set22/3/residuals/Y_1990-78.wav,set22/3/residuals/C_2044-9.wav,A-,A-,A-,A-,85163
254,ex202404,subject7,set22/1/piano/X_1961-24.wav,set22/1/piano/Y_1961-10.wav,set22/1/piano/C_1986-45.wav,A+,A+,A+,A+,37454
255,ex202404,subject7,set22/0/residuals/X_1995-31.wav,set22/0/residuals/Y_1995-19.wav,set22/0/residuals/C_2081-39.wav,A+,A+,A+,A+,19644
256,ex202404,subject7,set22/0/piano/X_1995-25.wav,set22/0/piano/Y_1995-38.wav,set22/0/piano/C_2081-44.wav,A-,NA,A-,A-,89068
258,ex202404,subject7,set22/2/residuals/X_1994-19.wav,set22/2/residuals/C_1948-49.wav,set22/2/residuals/Y_1994-24.wav,B+,B-,B+,B+,42346
264,ex202404,subject7,set22/1/guitar/X_1961-56.wav,set22/1/guitar/C_1986-16.wav,set22/1/guitar/Y_1961-15.wav,B+,B+,B+,B+,20145
265,ex202404,subject7,set22/2/drums/X_1994-30.wav,set22/2/drums/Y_1994-10.wav,set22/2/drums/C_1948-30.wav,NA,A+,NA,A-,29992
266,ex202404,subject7,set22/2/bass/X_1994-13.wav,set22/2/bass/Y_1994-12.wav,set22/2/bass/C_1948-16.wav,A-,A-,A-,A-,27968
267,ex202404,subject7,set22/1/bass/X_1961-45.wav,set22/1/bass/Y_1961-35.wav,set22/1/bass/C_1986-22.wav,A+,A-,A-,A+,48123
268,ex202404,subject7,set22/3/guitar/X_1990-62.wav,set22/3/guitar/C_2044-37.wav,set22/3/guitar/Y_1990-13.wav,B+,B+,B-,B+,37978
275,ex202404,subject7,set22/2/guitar/X_1994-16.wav,set22/2/guitar/C_1948-8.wav,set22/2/guitar/Y_1994-34.wav,B+,B+,B+,B+,23210
276,ex202404,subject7,set22/1/drums/X_1961-19.wav,set22/1/drums/C_1986-40.wav,set22/1/drums/Y_1961-43.wav,B-,B+,NA,B+,48617
281,ex202404,subject7,set22/0/drums/X_1995-46.wav,set22/0/drums/Y_1995-39.wav,set22/0/drums/C_2081-14.wav,A+,A+,NA,A+,45874
285,ex202404,subject7,set22/3/bass/X_1990-42.wav,set22/3/bass/Y_1990-53.wav,set22/3/bass/C_2044-8.wav,NA,B-,B-,B-,71189
287,ex202404,subject8,set18/1/guitar/X_2061-32.wav,set18/1/guitar/C_1896-19.wav,set18/1/guitar/Y_2061-45.wav,A+,B-,A-,A-,81457
288,ex202404,subject8,set18/1/bass/X_2061-43.wav,set18/1/bass/Y_2061-8.wav,set18/1/bass/C_1896-29.wav,A+,NA,NA,A-,47961
289,ex202404,subject8,set18/3/bass/X_1977-38.wav,set18/3/bass/C_1985-6.wav,set18/3/bass/Y_1977-11.wav,B+,A-,NA,B-,39403
290,ex202404,subject8,set18/0/guitar/X_1929-33.wav,set18/0/guitar/Y_1929-23.wav,set18/0/guitar/C_1902-42.wav,A+,A+,A+,A+,35350
297,ex202404,subject8,set18/2/bass/X_2016-14.wav,set18/2/bass/C_2005-31.wav,set18/2/bass/Y_2016-41.wav,B-,B+,B-,B+,50631
301,ex202404,subject8,set18/3/residuals/X_1977-27.wav,set18/3/residuals/Y_1977-44.wav,set18/3/residuals/C_1985-2.wav,A-,A+,A+,A+,19363
302,ex202404,subject8,set18/1/residuals/X_2061-15.wav,set18/1/residuals/Y_2061-21.wav,set18/1/residuals/C_1896-15.wav,A+,A+,NA,A+,34111
306,ex202404,subject8,set18/2/drums/X_2016-9.wav,set18/2/drums/C_2005-23.wav,set18/2/drums/Y_2016-44.wav,B+,B+,NA,B+,47171
307,ex202404,subject8,set18/0/bass/X_1929-44.wav,set18/0/bass/C_1902-35.wav,set18/0/bass/Y_1929-26.wav,B+,B+,B+,B+,61452
311,ex202404,subject8,set18/0/piano/X_1929-15.wav,set18/0/piano/Y_1929-7.wav,set18/0/piano/C_1902-50.wav,A+,A+,A+,A+,32982
314,ex202404,subject8,set18/1/piano/X_2061-41.wav,set18/1/piano/Y_2061-6.wav,set18/1/piano/C_1896-2.wav,A-,A+,A-,A+,34901
316,ex202404,subject8,set18/1/drums/X_2061-36.wav,set18/1/drums/Y_2061-23.wav,set18/1/drums/C_1896-50.wav,A+,A+,NA,A+,16859
318,ex202404,subject8,set18/3/drums/X_1977-36.wav,set18/3/drums/C_1985-30.wav,set18/3/drums/Y_1977-18.wav,B-,B+,NA,B+,32843
320,ex202404,subject8,set18/0/drums/X_1929-20.wav,set18/0/drums/C_1902-37.wav,set18/0/drums/Y_1929-35.wav,B+,NA,NA,B+,34152
321,ex202404,subject8,set18/2/piano/X_2016-15.wav,set18/2/piano/C_2005-38.wav,set18/2/piano/Y_2016-4.wav,B-,NA,NA,B-,45650
323,ex202404,subject8,set18/3/piano/X_1977-29.wav,set18/3/piano/C_1985-33.wav,set18/3/piano/Y_1977-8.wav,B-,NA,NA,B-,51991
324,ex202404,subject8,set18/2/residuals/X_2016-49.wav,set18/2/residuals/Y_2016-38.wav,set18/2/residuals/C_2005-39.wav,A+,NA,NA,A+,33917
326,ex202404,subject8,set18/2/guitar/X_2016-19.wav,set18/2/guitar/Y_2016-7.wav,set18/2/guitar/C_2005-8.wav,B-,A-,NA,B-,41323
327,ex202404,subject8,set18/0/residuals/X_1929-34.wav,set18/0/residuals/Y_1929-30.wav,set18/0/residuals/C_1902-17.wav,A+,A+,A+,A+,16825
328,ex202404,subject8,set18/3/guitar/X_1977-43.wav,set18/3/guitar/Y_1977-17.wav,set18/3/guitar/C_1985-48.wav,A+,A+,A+,A+,17871
330,ex202404,subject9,set42/3/bass/X_1943-14.wav,set42/3/bass/C_2064-29.wav,set42/3/bass/Y_1943-16.wav,A-,A+,A-,A-,21780
331,ex202404,subject9,set42/1/guitar/X_1899-15.wav,set42/1/guitar/Y_1899-17.wav,set42/1/guitar/C_1880-38.wav,A+,A-,A-,A-,21198
332,ex202404,subject9,set42/3/residuals/X_1943-53.wav,set42/3/residuals/Y_1943-4.wav,set42/3/residuals/C_2064-48.wav,A+,A-,A-,A-,21197
335,ex202404,subject9,set42/0/residuals/X_1978-31.wav,set42/0/residuals/Y_1978-12.wav,set42/0/residuals/C_2046-20.wav,A-,B-,B-,B-,20186
338,ex202404,subject9,set42/2/drums/X_2037-60.wav,set42/2/drums/C_1929-32.wav,set42/2/drums/Y_2037-28.wav,B+,B+,B+,B+,23078
339,ex202404,subject9,set42/0/bass/X_1978-37.wav,set42/0/bass/Y_1978-28.wav,set42/0/bass/C_2046-33.wav,A-,B-,A-,A-,22644
340,ex202404,subject9,set42/3/piano/X_1943-49.wav,set42/3/piano/Y_1943-35.wav,set42/3/piano/C_2064-34.wav,B-,B-,B-,B-,18868
341,ex202404,subject9,set42/2/bass/X_2037-11.wav,set42/2/bass/C_1929-28.wav,set42/2/bass/Y_2037-53.wav,B+,B+,B+,B+,18740
342,ex202404,subject9,set42/2/guitar/X_2037-30.wav,set42/2/guitar/Y_2037-20.wav,set42/2/guitar/C_1929-33.wav,B-,A-,A-,A-,21263
343,ex202404,subject9,set42/1/residuals/X_1899-28.wav,set42/1/residuals/C_1880-7.wav,set42/1/residuals/Y_1899-6.wav,B+,B+,B-,B+,26736
345,ex202404,subject9,set42/0/piano/X_1978-35.wav,set42/0/piano/Y_1978-40.wav,set42/0/piano/C_2046-9.wav,A-,A-,A-,A-,19434
